period,NDVI,BSI,EVI,NBR
Jan 2022,0.5658,-0.0516,1.5792,0.3316
Feb 2022,0.5002,0.005,1.3263,0.2622
Mar 2022,0.4533,0.0629,0.9703,0.2015
Apr 2022,0.4037,0.0962,0.8094,0.1379
May 2022,0.4551,0.0379,1.0478,0.2014
