lat,lon,NDVI,NDWI,MNDWI,NDBI,EVI,SAVI,LAI,GCI,ARVI,BSI,LST_celsius,canopy_cover_pct
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,1.0,-0.9304128120876838,-0.5616182482602687,-0.7291423428449486,0.858572332534191,0.964003020945627,0.8585723325341907,0.9469880854044286,0.8534867049027111,-0.6137819793192626,-0.8046359004683727,
,,-0.9304128120876838,1.0,0.8156873126358158,0.45268163873476996,-0.840671705775313,-0.8977951184464459,-0.840671705775313,-0.9455849268103766,-0.6172968304607115,0.30027709216645676,0.6834720400581795,
,,-0.5616182482602687,0.8156873126358158,1.0,-0.1451803399465893,-0.619660036250467,-0.5551555815767664,-0.619660036250467,-0.6493702231105092,-0.06602919187318376,-0.3014289208591174,0.26569617311725185,
,,-0.7291423428449486,0.45268163873476996,-0.1451803399465893,1.0,-0.49183570641674623,-0.6881441748320847,-0.49183570641674607,-0.6200941466183338,-0.9561474273289939,0.9814008225651449,0.754120642264123,
,,0.858572332534191,-0.840671705775313,-0.619660036250467,-0.49183570641674623,1.0,0.9231130979768506,1.0000000000000002,0.729560721638054,0.6068279141736359,-0.3689882401397143,-0.5621539079833335,
,,0.964003020945627,-0.8977951184464459,-0.5551555815767664,-0.6881441748320847,0.9231130979768506,1.0,0.923113097976851,0.8928676275522385,0.7956322113617901,-0.5678462317598636,-0.6839641498536407,
,,0.8585723325341907,-0.840671705775313,-0.619660036250467,-0.49183570641674607,1.0000000000000002,0.923113097976851,1.0,0.7295607216380537,0.6068279141736359,-0.36898824013971415,-0.5621539079833333,
,,0.9469880854044286,-0.9455849268103766,-0.6493702231105092,-0.6200941466183338,0.729560721638054,0.8928676275522385,0.7295607216380537,1.0,0.7575112336103592,-0.49288916237125624,-0.7236033290420196,
,,0.8534867049027111,-0.6172968304607115,-0.06602919187318376,-0.9561474273289939,0.6068279141736359,0.7956322113617901,0.6068279141736359,0.7575112336103592,1.0,-0.9250548291474899,-0.8053356073935269,
,,-0.6137819793192626,0.30027709216645676,-0.3014289208591174,0.9814008225651449,-0.3689882401397143,-0.5678462317598636,-0.36898824013971415,-0.49288916237125624,-0.9250548291474899,1.0,0.6810110060583336,
,,-0.8046359004683727,0.6834720400581795,0.26569617311725185,0.754120642264123,-0.5621539079833335,-0.6839641498536407,-0.5621539079833333,-0.7236033290420196,-0.8053356073935269,0.6810110060583336,1.0,
,,,,,,,,,,,,,
