id,lat,lon,period,NDVI,NDWI,MNDWI,NDBI,EVI,SAVI,LAI,GCI,ARVI,BSI,LST_celsius,canopy_cover_pct
site_01,22.65,82.9,2018-03,0.36384659264680563,-0.46217411075507875,-0.573457641743045,0.1490891992517872,0.20819504872757644,0.21465562130165905,0.6352496862963726,1.7986301294945024,0.19319453268397727,0.18179632143593633,36.294452218894854,2.9719575279063437
site_01,22.65,82.9,2018-04,0.2936553145222792,-0.36792728272919895,-0.490133991646476,0.14861337956824,0.19413340009731114,0.18720277188601966,0.584374641552072,1.192763998606444,0.1471151949897144,0.16837793459437989,39.7571152903721,2.9719575279063437
site_01,22.65,82.9,2018-05,,,,,,,,,,,,
site_01,22.65,82.9,2018-06,,,,,,,,,,,,
site_01,22.65,82.9,2018-07,,,,,,,,,,,,
site_01,22.65,82.9,2018-08,,,,,,,,,,,,
site_01,22.65,82.9,2018-09,,,,,,,,,,,,
site_01,22.65,82.9,2018-10,0.503803692085086,-0.5150382953899292,-0.5398914699023764,0.029319352812685027,0.3095645801147578,0.2938230498382233,1.002004650855196,2.2604279200884845,0.40321466497223807,0.056734521962217406,29.96483758822224,2.9719575279063437
site_01,22.65,82.9,2018-11,0.47850173318263645,-0.49464636429019193,-0.5174480687570179,0.026354454646068122,0.2897214252890698,0.2716597188345953,0.9302121166958557,2.07608841548037,0.3877443783265961,0.05111079180735893,27.420363672538052,2.9719575279063437
site_01,22.65,82.9,2018-12,0.4374417593431822,-0.43274904938891456,-0.42327436065094426,-0.008917323246958674,0.2703722314595383,0.2431309153358069,0.8602067334206089,1.577655465088795,0.3753471322170152,0.017041791726306543,22.08770437077196,2.9719575279063437
site_01,22.65,82.9,2019-01,0.4765490732712196,-0.5020233372748961,-0.5261160341863084,0.02541145641673817,0.2643935195097694,0.26225016015932595,0.8385757535863467,2.1936471353550524,0.3510246819837657,0.06453083596040064,22.51947169574267,2.9719575279063437
site_01,22.65,82.9,2019-02,0.432230333101607,-0.47012227208958485,-0.5235127673148253,0.06523542569478977,0.23825974796784188,0.23957446724765413,0.7440237681476504,1.9079107540025309,0.29041501130385367,0.10334461897062908,27.049307147794146,2.9719575279063437
site_01,22.65,82.9,2019-03,0.3528814830745317,-0.41021097717954214,-0.50233282706035,0.11389002812972113,0.21096852383759193,0.20797263285935466,0.6452841192444072,1.4486473794686705,0.2081939138072743,0.14232036892418912,34.534783450961996,2.9719575279063437
site_01,22.65,82.9,2019-04,0.2746035026831537,-0.34204750148242136,-0.47095450315021375,0.15319053175884773,0.18641062664268998,0.17518140102264962,0.5564336471932524,1.0535409247795604,0.1398189018175831,0.16516410594530334,39.85939663657895,2.9719575279063437
site_01,22.65,82.9,2019-05,0.2904209441192598,-0.35136982445291975,-0.4668608698622274,0.13760080804974606,0.20037618592325754,0.19062974905861155,0.6069610406703453,1.1060687265921474,0.1467037410358719,0.1590243356994227,42.11388563111278,2.9719575279063437
site_01,22.65,82.9,2019-06,0.3210568595959657,-0.3816975742815474,-0.482714047944848,0.1231318437178045,0.20458409619029003,0.20660533680867485,0.6221852600164702,1.3009606810416554,0.1510984496303171,0.1630390255339753,37.89413906050385,2.9719575279063437
site_01,22.65,82.9,2019-07,,,,,,,,,,,,
site_01,22.65,82.9,2019-08,,,,,,,,,,,,
site_01,22.65,82.9,2019-09,,,,,,,,,,,,
